,Nombre_tienda,Estrellas,Reseñas,Precio,Tipo_local,Direccion
98,Oohmycookie,"4,6",(16),"4,6(16)","Galletas ·  · Carrer de Sant Joaquim, 36
Cerrado ⋅ Apertura: 16:00","Galletas ·  · Carrer de Sant Joaquim, 36"
99,Granier,"3,8",(60),"3,8(60) · 1-10 €","Panadería ·  · Plaça Pati de Vela, 1
Abierto ⋅ Cierra a las 14:00 ⋅ Próxima apertura: 16:30","Panadería ·  · Plaça Pati de Vela, 1"
100,Balsàmic,"4,5",(903),"4,5(903) · 20-30 €","Mediterránea ·  · Carrer de Francesc Macià, 16
Cocina de mercado en un local actual
Abre pronto ⋅ 13:00","Mediterránea ·  · Carrer de Francesc Macià, 16"
101,Bella Istanbul Badalona,"4,2",(1.230),"4,2(1.230) · 10-20 €","Turca ·  · Carrer de Mar, 106
Abierto ⋅ Cierra a las 0:00","Turca ·  · Carrer de Mar, 106"
102,Gastroteca Espai Classual,"4,8",(2.275),"4,8(2.275) · 40-50 €","Restaurante ·  · Carrer de Ribas i Perdigó, 9
Cerrado ⋅ Apertura: 20:00","Restaurante ·  · Carrer de Ribas i Perdigó, 9"
103,Vivari,"3,6",(191),"3,6(191) · 1-10 €","Cafetería ·  · Carrer de Mar, 116
Abierto ⋅ Cierra a las 21:00","Cafetería ·  · Carrer de Mar, 116"
104,Restaurant la Llar de l'All i Oli,"4,5",(904),"4,5(904) · 30-40 €","Restaurante · Carrer de la Conquista, 87
Platos clásicos en un restaurante tradicional
Abre pronto ⋅ 13:00","Restaurante · Carrer de la Conquista, 87"
105,Mercadona,"4,1",(1.997),"4,1(1.997)","Supermercado ·  · Carrer de Miquel Servet, 219
Abierto ⋅ Cierra a las 21:00","Supermercado ·  · Carrer de Miquel Servet, 219"
106,Pantaiberic,"4,4",(414),"4,4(414) · 20-30 €","Panadería ·  · Av. de Martí Pujol, 83
Cerrado ⋅ Apertura: 18:30","Panadería ·  · Av. de Martí Pujol, 83"
107,La Tasca Punk Gastrobar,"4,7",(243),"4,7(243) · 10-20 €","Restaurante ·  · Av. de Lloreda, 33
Cerrado ⋅ Apertura: 19:00","Restaurante ·  · Av. de Lloreda, 33"
108,La Masia de la Xesca,"4,1",(894),"4,1(894) · 30-40 €","Barbacoa ·  · Carrer de Sagunt, 112
Mesón ecléctico con parrilladas de carne
Abre pronto ⋅ 13:00","Barbacoa ·  · Carrer de Sagunt, 112"
109,La Mare del Tano,"4,4",(760),"4,4(760) · 10-20 €","Cafetería ·  · Carrer de Francesc Layret, 175
Bocadillería urbana y cervezas artesanas
Abre pronto ⋅ 13:00","Cafetería ·  · Carrer de Francesc Layret, 175"
110,Lifemart,"4,6",(132),"4,6(132)","Supermercado ·  · Carrer de Francesc Layret, 142
Abierto ⋅ Cierra a las 21:00","Supermercado ·  · Carrer de Francesc Layret, 142"
111,Solo Empanadas,"4,6",(151),"4,6(151) · 10-20 €","Argentina · Carrer de Miquel Servet, 159
Cerrado ⋅ Apertura: 19:00","Argentina · Carrer de Miquel Servet, 159"
112,Cafeteria restaurant Tanger,"3,7",(192),"3,7(192) · 1-10 €","Restaurante ·  · Avinguda del Marquès de Mont-Roig, 117 121, local 2
Abierto ⋅ Cierra a las 23:30","Restaurante ·  · Avinguda del Marquès de Mont-Roig, 117 121, local 2"
113,Frutaway,"4,8",(244),"4,8(244)","Frutería ·  · Carrer de Mar, 119, LOC
Abierto ⋅ Cierra a las 20:00","Frutería ·  · Carrer de Mar, 119, LOC"
114,Roccos Burger,"4,9",(144),"4,9(144) · 10-20 €","Hamburguesa ·  · Carrer de Tortosa, 2
Abierto ⋅ Cierra a las 15:30 ⋅ Próxima apertura: 19:30","Hamburguesa ·  · Carrer de Tortosa, 2"
115,La Trufa d'Or,"4,2",(142),"4,2(142) · 30-40 €","Pastelería · Av. de Catalunya, 36
Abierto ⋅ Cierra a las 14:00 ⋅ Próxima apertura: 16:30","Pastelería · Av. de Catalunya, 36"
116,Lar O'Marulo,"4,0",(1.120),"4,0(1.120) · 10-20 €","Parrilla ·  · Carrer d'Irlanda, 14
Abierto ⋅ Cierra a las 21:00","Parrilla ·  · Carrer d'Irlanda, 14"
117,Pans & Company,"3,9",(1.002),"3,9(1.002) · 1-10 €","Comida rápida ·  · Magic Badalona, Carrer de la Concòrdia, 1 C.C, Local A02
Cadena de bocadillerías y comida rápida
Abierto ⋅ Cierra a las 22:30","Comida rápida ·  · Magic Badalona, Carrer de la Concòrdia, 1 C.C, Local A02"
118,Restaurant La Costa Badalona,"4,5",(734),"4,5(734) · 30-40 €","Cocina catalana ·  · Carrer de les Eres, 1
Casa renovada para cocina de temporada
Cerrado ⋅ Apertura: 20:30","Cocina catalana ·  · Carrer de les Eres, 1"
119,La Teglia,"4,8",(124),"4,8(124) · 10-20 €","Pizza para llevar · Carrer de Sant Sebastià, 42
Cerrado ⋅ Apertura: 20:15","Pizza para llevar · Carrer de Sant Sebastià, 42"
